method_,seed,alpha,beta,pos_weight,learnable_params,smallcnn_params,sobelfront_params,unet_params,Dice@0.5_mean,Dice@0.5_std,Dice@valThr_mean,Dice@valThr_std,Prec@valThr_mean,Prec@valThr_std,Rec@valThr_mean,Rec@valThr_std,ASSD_px_mean,ASSD_px_std,HD95_px_mean,HD95_px_std,F1@tol1px_mean,F1@tol1px_std,F1@tol2px_mean,F1@tol2px_std,F1@tol3px_mean,F1@tol3px_std,F1@tol5px_mean,F1@tol5px_std,Thr_val_mean,Thr_val_std,method
A_perfect_target_vs_target,42,1.2531758546829224,-1.393665075302124,50.0,20,4817,2947,117985,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,
B_fixed_sobel_edges,42,1.2531758546829224,-1.393665075302124,50.0,20,4817,2947,117985,0.054423320601755566,0.05305903011848975,0.18299145223891727,0.09313231988125323,0.11395687966084778,0.06490468075801695,0.5736990948477849,0.18843486429359174,34.66350359800876,13.184945664428113,82.39676178167313,17.58501262537819,0.22741935155817075,0.11486222916111274,0.25751976090916007,0.12822339086306725,0.28352062322717025,0.13840837277480827,0.32521360701395857,0.15234704595824564,,,B_fixed_sobel_edges
C_learnable_sobel_pretrain_finetune,42,1.2531758546829224,-1.393665075302124,50.0,20,4817,2947,117985,0.14745545720417483,0.0855056650423539,0.18321524389288651,0.121194567921815,0.1564257657788606,0.11257726914449107,0.41319978474736796,0.31000115855966537,21.209820110213457,17.184409874917353,54.730038716181255,32.296704305921374,0.2550505231284746,0.15628191670896283,0.32029574662386967,0.18639244218856094,0.38662595829315843,0.2139425607453894,0.48846495638001086,0.24828858219375177,,,C_learnable_sobel_pretrain_finetune
D_smallcnn_baseline,42,1.2531758546829224,-1.393665075302124,50.0,20,4817,2947,117985,0.21513778568818687,0.13851671535772073,0.31092403911972394,0.19333157862970868,0.3292521648554402,0.21456276702769542,0.3638417659039595,0.22018124455272886,17.57971123778678,16.28909471300355,48.413239238540555,30.702527424551825,0.39790883187138526,0.22994094944235408,0.4550666347701401,0.24886508921828965,0.5018365361269936,0.2607999277177906,0.5656918965519111,0.2710658146201191,,,D_smallcnn_baseline
E_sobelfront_cnn,42,1.2531758546829224,-1.393665075302124,50.0,20,4817,2947,117985,0.27251382765199883,0.15703492421311313,0.381330687623874,0.19640021836706087,0.350321288719986,0.18539004156911149,0.5065680524925282,0.27121116446016097,15.973253732493792,15.374879372507335,46.57291841996812,30.257407944570925,0.4732030936049455,0.22457630501488743,0.5322985671098426,0.2378754988647932,0.578968046983965,0.24588846793083927,0.6402442272287561,0.2527504963525065,,,E_sobelfront_cnn
F_tinyunet_seg_to_boundary,42,1.2531758546829224,-1.393665075302124,50.0,20,4817,2947,117985,0.4439028448465579,0.2104562166619943,0.4439028448465579,0.2104562166619943,0.4756051085939577,0.2259432259146146,0.44472309577497204,0.21404956330261302,inf,,inf,,0.5458074378285276,0.24479506971740972,0.612414042046716,0.2607844346461541,0.6611114690108428,0.26804488199613424,0.7181415480001485,0.270335833792161,,,F_tinyunet_seg_to_boundary
A_perfect_target_vs_target,1337,1.2497599124908447,-1.3752460479736328,50.0,20,4817,2947,117985,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,
B_fixed_sobel_edges,1337,1.2497599124908447,-1.3752460479736328,50.0,20,4817,2947,117985,0.055571843474668266,0.056044316825927164,0.19609008226139113,0.09422372753390869,0.12383771017597694,0.06627312278903885,0.5793275176785744,0.17088790265979706,33.958198264244935,13.970303046557868,82.38188610422537,18.898436506485247,0.2448317784218577,0.1161043218392858,0.27776027332931574,0.1293320835928218,0.30583378467490485,0.13912099082956256,0.3489620253667786,0.15198402701311176,,,B_fixed_sobel_edges
C_learnable_sobel_pretrain_finetune,1337,1.2497599124908447,-1.3752460479736328,50.0,20,4817,2947,117985,0.14577612159437303,0.07944673339130448,0.1753974877712937,0.11338761235088601,0.13942899763243016,0.09604995697602198,0.44242953696600335,0.3126646016756781,24.200854407440826,19.057986928712275,61.12438698862607,33.150218371956676,0.24199285855971292,0.14190109072368123,0.3037625010284357,0.1649305369395569,0.3676829302530713,0.18649726226512225,0.4688939643836998,0.21837134185347706,,,C_learnable_sobel_pretrain_finetune
D_smallcnn_baseline,1337,1.2497599124908447,-1.3752460479736328,50.0,20,4817,2947,117985,0.20592731833915082,0.13256516850441058,0.3363190283005753,0.17797086886642996,0.32357821798621456,0.18881024461383142,0.4429096532584874,0.21656772849587375,21.37141701472718,20.274755394758454,58.086969616662245,35.01451603068053,0.42319676750647967,0.21004893639145747,0.47921975713741216,0.22717224129372637,0.5226819862142082,0.23823395436008954,0.5791438605155916,0.2484738536852966,,,D_smallcnn_baseline
E_sobelfront_cnn,1337,1.2497599124908447,-1.3752460479736328,50.0,20,4817,2947,117985,0.24091064853695365,0.14325919849036142,0.3817326614746462,0.18432073785049807,0.32989828625536266,0.17365304706692605,0.5645082704089972,0.24549024568652353,20.712114225059267,19.385862955011458,58.21974016077577,35.00584610641359,0.4701769192206814,0.21185726192139873,0.5249765335355346,0.22528347014304392,0.5670031181437512,0.23330472642945313,0.6197350032741988,0.2416567810508315,,,E_sobelfront_cnn
F_tinyunet_seg_to_boundary,1337,1.2497599124908447,-1.3752460479736328,50.0,20,4817,2947,117985,0.45643169091015645,0.20361978909692396,0.45643169091015645,0.20361978909692396,0.4667046106041378,0.2190185453610143,0.48020688786455895,0.2047353719719937,inf,,inf,,0.559723304906318,0.23757497465393018,0.6264113363741793,0.2532456896735655,0.6739645659796908,0.25936606504676035,0.7272256892390248,0.25806304868209023,,,F_tinyunet_seg_to_boundary
A_perfect_target_vs_target,2026,1.2533166408538818,-1.3780279159545898,50.0,20,4817,2947,117985,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,
B_fixed_sobel_edges,2026,1.2533166408538818,-1.3780279159545898,50.0,20,4817,2947,117985,0.0599827787174912,0.05734292773211202,0.17805353570886304,0.08747997277160842,0.10979847742135396,0.05905162193629428,0.5668321217284228,0.17665446286017744,35.311424521634024,11.007699589365568,83.47685278509086,14.547106788329573,0.2218781188464357,0.108121525761337,0.25209073360548495,0.12131299536254268,0.2782083371360082,0.13158647981943772,0.3184171300779439,0.14426648394357566,,,B_fixed_sobel_edges
C_learnable_sobel_pretrain_finetune,2026,1.2533166408538818,-1.3780279159545898,50.0,20,4817,2947,117985,0.141748090511542,0.07913126223007855,0.18287024669150376,0.12242872462999826,0.15936558135740897,0.12517148710142617,0.42204451582954394,0.3159623060966657,20.857158813815513,14.867651046145326,57.59992440560287,31.715252417717178,0.2544439806235923,0.1575445587024858,0.3195567679376582,0.1852861589783947,0.3858997444716487,0.20882188518085862,0.48963971624370134,0.2391693364814845,,,C_learnable_sobel_pretrain_finetune
D_smallcnn_baseline,2026,1.2533166408538818,-1.3780279159545898,50.0,20,4817,2947,117985,0.25624960868633573,0.14906049469902932,0.34629462418331275,0.20294465782566648,0.3658381723793164,0.21952973509920898,0.41129096289264067,0.22441694346549848,17.17706417841118,14.80418739540295,50.95002214758291,32.050881819494506,0.43861756870321994,0.2397713486482927,0.4976369155078285,0.2589728109308973,0.5431645557792933,0.27051438038184494,0.599804541795152,0.28070742552129485,,,D_smallcnn_baseline
E_sobelfront_cnn,2026,1.2533166408538818,-1.3780279159545898,50.0,20,4817,2947,117985,0.2539030397205047,0.14716277010497278,0.37000784405162346,0.20405784966013554,0.3653688353732163,0.2034108366117289,0.4656885350527689,0.2484378121550612,16.309282880011544,14.43461161692825,48.98980792588705,31.57029505018186,0.46191990350573714,0.2362235795932929,0.5212200028614539,0.2525125471621286,0.5677023269301531,0.2626955159402665,0.6263070134567801,0.2713130972154834,,,E_sobelfront_cnn
F_tinyunet_seg_to_boundary,2026,1.2533166408538818,-1.3780279159545898,50.0,20,4817,2947,117985,0.4571343025606888,0.21471213896793667,0.4571343025606888,0.21471213896793667,0.4613560548567095,0.23760320413559943,0.5027541027517198,0.21287916225183334,inf,,inf,,0.5526746322275491,0.24550563536423173,0.6103670778159879,0.2561073115893975,0.6524755283745666,0.25837672750988294,0.7046200533528831,0.2578671364141769,,,F_tinyunet_seg_to_boundary
A_perfect_target_vs_target,7,1.2543843984603882,-1.3864613771438599,50.0,20,4817,2947,117985,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,
B_fixed_sobel_edges,7,1.2543843984603882,-1.3864613771438599,50.0,20,4817,2947,117985,0.061377731501779054,0.058792972851981554,0.1722612260960554,0.08784779282506623,0.10788408681367087,0.06218749019920555,0.53373705895352,0.17826092156028323,36.46416707931243,13.715441908230664,85.61119606156862,18.68559877354077,0.21575951133271112,0.10974967466261204,0.24623318157758362,0.12392656738419813,0.27290203027744253,0.13503770122381895,0.31354350680699195,0.1497119389712339,,,B_fixed_sobel_edges
C_learnable_sobel_pretrain_finetune,7,1.2543843984603882,-1.3864613771438599,50.0,20,4817,2947,117985,0.12883831406621696,0.0711508042263575,0.18108158254726395,0.11724522333869399,0.1387291166225125,0.10801720826196735,0.4968363595747539,0.3155696504262726,24.502318332113195,16.84171279296758,63.922694764345216,31.810160851491343,0.24738196473376575,0.15057246293706933,0.30710112633270903,0.1776086343023577,0.3680194600724127,0.20181441922027119,0.4645215381415206,0.2343197703356657,,,C_learnable_sobel_pretrain_finetune
D_smallcnn_baseline,7,1.2543843984603882,-1.3864613771438599,50.0,20,4817,2947,117985,0.17915607117187493,0.10401466078615525,0.28934392821315136,0.1845039206097198,0.2717846762679415,0.1841159195781886,0.4028763356189437,0.23188404878843666,inf,,inf,,0.36778393619906496,0.21759289825659353,0.42177755581565995,0.23618054309890027,0.4678083236776475,0.2494219031360072,0.5305992648057051,0.2648080929907345,,,D_smallcnn_baseline
E_sobelfront_cnn,7,1.2543843984603882,-1.3864613771438599,50.0,20,4817,2947,117985,0.22978711661799664,0.1291837837018327,0.3559263047002992,0.1872424845081545,0.30049328774510103,0.17099389333812445,0.5442945185156943,0.24952661434764972,21.22857192793162,17.369641557319575,61.54307907734533,31.981513060391297,0.4399496827847439,0.21743499064708624,0.4930220868151849,0.2337799046089659,0.5348194178919905,0.24557132101568163,0.5898738442848179,0.2587296784276593,,,E_sobelfront_cnn
F_tinyunet_seg_to_boundary,7,1.2543843984603882,-1.3864613771438599,50.0,20,4817,2947,117985,0.45141116142421395,0.20875513319357053,0.45141116142421395,0.20875513319357053,0.4287443782233738,0.21906413721642656,0.5302407579787272,0.2131800026027792,inf,,inf,,0.5448713612821987,0.2369658177043394,0.6007019130523183,0.24593168948431798,0.6412445735289171,0.2484638831164718,0.691764337403792,0.2493584524808688,,,F_tinyunet_seg_to_boundary
A_perfect_target_vs_target,99,1.2550008296966553,-1.388378620147705,50.0,20,4817,2947,117985,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,
B_fixed_sobel_edges,99,1.2550008296966553,-1.388378620147705,50.0,20,4817,2947,117985,0.06110994336875927,0.06186192174705813,0.17571393077819472,0.09212998668111123,0.10963633777976836,0.06397177823972999,0.5681812624148888,0.1825328389919225,36.65077126892769,13.645273701165738,85.27369972378787,18.755348268197405,0.21961765742387584,0.11441101313478665,0.24982701509680977,0.12850169354482865,0.27581011343615935,0.13986459983118762,0.31508716709190887,0.15450040180379232,,,B_fixed_sobel_edges
C_learnable_sobel_pretrain_finetune,99,1.2550008296966553,-1.388378620147705,50.0,20,4817,2947,117985,0.13585657862311604,0.0773632371856284,0.20282983681366729,0.12169692984040832,0.16308799142060912,0.1144756138333309,0.5290179087199585,0.3119771594748574,23.411150099369777,17.661738793264593,63.75688137750164,31.86512674701194,0.2757881746440011,0.15479736695099064,0.3404522148656179,0.18309251732636792,0.4039225323129649,0.20992130198396472,0.4971939912209166,0.24376031298478812,,,C_learnable_sobel_pretrain_finetune
D_smallcnn_baseline,99,1.2550008296966553,-1.388378620147705,50.0,20,4817,2947,117985,0.1688449217342218,0.10836280547557538,0.33213762647827155,0.18214322965904317,0.2773261156483344,0.1769723043896319,0.6034839422435211,0.26693092937373897,20.386470420848543,18.64330183146587,54.00698020549951,33.77056375509827,0.4124424474640926,0.21342090772031075,0.4695443538279287,0.23316175639566927,0.5182014562329591,0.24804646274836667,0.5856386280239524,0.2653578376872709,,,D_smallcnn_baseline
E_sobelfront_cnn,99,1.2550008296966553,-1.388378620147705,50.0,20,4817,2947,117985,0.22614577695034163,0.14116060287858284,0.37871386738948853,0.19510704348479338,0.32055035719961156,0.18980809069966414,0.6078915135261231,0.2576561486354663,19.545725011528063,18.04159422111177,54.88939117602708,33.42594293663668,0.4656272487666374,0.2258713734783831,0.5207108943987216,0.24225574773447248,0.5637981889955411,0.2528660793935082,0.6212682370303905,0.26506634984337524,,,E_sobelfront_cnn
F_tinyunet_seg_to_boundary,99,1.2550008296966553,-1.388378620147705,50.0,20,4817,2947,117985,0.45664621998581223,0.2418392205325615,0.45664621998581223,0.2418392205325615,0.4938132443093994,0.2644420851630534,0.4726105754119297,0.24031816234344158,inf,,inf,,0.549195154802037,0.27319872029147757,0.6047845483062642,0.28208783966444206,0.6468530312501408,0.28366496964170784,0.7027269057986709,0.281302988566046,,,F_tinyunet_seg_to_boundary
